"","year","BroodID","night_nb_real","Data_Directory.F","nights","trips.n.M","trips.n.F","brood.sizeF","brood.size.change01","brood.size.change","AgeBin.F","AgeBin.M","hunt.att.sumMF","distance.km.M","distance.km.F","time.h.M","time.h.F","vedba.avg.M","vedba.avg.F","vedba.sum.M","vedba.sum.F","vedba.sum.sum.M","vedba.sum.sum.F","hunt.att.avg.M","hunt.att.avg.F","hunt.att.sum.M","hunt.att.sum.F","prey.to.nest.M","prey.to.nest.F","hunt.succ.sum.M","hunt.succ.sum.F","prop.succ.dives.M","prop.succ.dives.F","prop.succ.dives.tripM","prop.succ.dives.tripF","preys.eaten.M","preys.eaten.F","preys.eaten","preys.nest","clutchF.y","Nb_Eggs","Nb_Nestlings1","Nb_Nestlings2","Nb_Fledglings","egg.fledg.ratio","egg.nestl.ratio1","egg.nestl.ratio2","nestl.fledg.ratio","Morph.M","Morph.F","colour.M","colour.F","n.spots.M","n.spots.F","trips.tot","trips.diff","prop.trips.M","prop.trips.F","vedba.avg.diff","vedba.sum.diff","hunt.att.diff","prey.to.nest.diff","prop.prey.nestM","prop.prey.nestF","preys.eaten.diff","prop.prey.eatenM","prop.prey.eatenF","prop.prey.eaten.prey.capturedM","prop.prey.eaten.prey.capturedF","prop.succ.dives.diff","BroodIDf","prey.per.chick","prey.per.chickF","prey.per.chickM","prey.per.chickF.res","prey.per.chickM.res","prey.to.nest.F10","prey.to.nest.M10","preys.nest10","prey.nest.coopI","prey.nest.Mcoop01","prey.nest.Fcoop01","prey.nest.coopI.dir","pair.group","trips.coopI","trips.coopI.dir","prey.eaten.selfI","prey.eaten.selfI.dir","year_z","BroodID_z","night_nb_real_z","nights_z","trips.n.M_z","trips.n.F_z","brood.size.change_z","hunt.att.sumMF_z","distance.km.M_z","distance.km.F_z","time.h.M_z","time.h.F_z","vedba.avg.M_z","vedba.avg.F_z","vedba.sum.M_z","vedba.sum.F_z","vedba.sum.sum.M_z","vedba.sum.sum.F_z","hunt.att.avg.M_z","hunt.att.avg.F_z","hunt.att.sum.M_z","hunt.att.sum.F_z","prey.to.nest.M_z","prey.to.nest.F_z","hunt.succ.sum.M_z","hunt.succ.sum.F_z","prop.succ.dives.M_z","prop.succ.dives.F_z","prop.succ.dives.tripM_z","prop.succ.dives.tripF_z","preys.eaten.M_z","preys.eaten.F_z","preys.eaten_z","preys.nest_z","clutchF.y_z","Nb_Eggs_z","Nb_Nestlings1_z","Nb_Nestlings2_z","Nb_Fledglings_z","egg.fledg.ratio_z","egg.nestl.ratio1_z","egg.nestl.ratio2_z","nestl.fledg.ratio_z","colour.M_z","colour.F_z","n.spots.M_z","n.spots.F_z","trips.tot_z","trips.diff_z","prop.trips.M_z","prop.trips.F_z","vedba.avg.diff_z","vedba.sum.diff_z","hunt.att.diff_z","prey.to.nest.diff_z","prop.prey.nestM_z","prop.prey.nestF_z","preys.eaten.diff_z","prop.prey.eatenM_z","prop.prey.eatenF_z","prop.prey.eaten.prey.capturedM_z","prop.prey.eaten.prey.capturedF_z","prop.succ.dives.diff_z","prey.per.chick_z","prey.per.chickF_z","prey.per.chickM_z","prey.per.chickF.res_z","prey.per.chickM.res_z","prey.to.nest.F10_z","prey.to.nest.M10_z","preys.nest10_z","prey.nest.coopI_z","prey.nest.Mcoop01_z","prey.nest.Fcoop01_z","trips.coopI_z","prey.eaten.selfI_z","yearF","brood.size.fin","brood.size.changeF","percent_wildflower","percent_wildflower.zsqrt","area_wildflower","area_wildflower.zsqrt","Malebehav_Dim1","Malebehav_Dim2","Femalebehav_Dim1","Femalebehav_Dim2","brood.size.change01F"
"1",2019,1988,1,"Female_M038044_060519",1,8,4,"5","0",0,"2","2",70,74.7374283288139,45.8994438339437,6.60055555555556,5.11,0.353670902748305,0.295632548275985,1005.42198855901,1128.57554127001,1005.42198855901,1128.57554127001,5.875,5.75,47,23,8,4,11,5,0.234042553191489,0.217391304347826,0.234042553191489,0.217391304347826,3,1,4,12,"1",6,5,5,5,0.833333333333333,0.833333333333333,0.833333333333333,1,"White","Red",-8,-2.25,96,54,12,4,0.666666666666667,0.333333333333333,0.0580383544723198,-123.153552710997,24,4,0.666666666666667,0.333333333333333,2,0.75,0.25,0.272727272727273,0.2,0.0166512488436633,"1988",2.4,0.8,1.6,0.04,-0.46,40,80,120,0.333333333333333,0.666666666666667,0.333333333333333,"male contribution","both old (2+ years)",0.333333333333333,"male contribution",0.5,"male eats more",-0.834793719444005,-1.43283494753384,-1.37843562675099,-1.37843562675099,-0.278295188634804,0.161026377940483,0.66429831119101,0.275278975027043,0.600798216804913,0.183578918166522,0.167089010401952,-0.110695035737585,-0.0986255972959647,0.292714534015517,0.558680717570049,-0.314415012999915,0.558680717570049,-0.314415012999915,0.412740631210294,-0.122347966850201,0.288250894220121,0.154583377967081,-0.216897659773672,0.253211562285914,-0.101418789862236,0.180217781163433,-0.59595259194326,-0.252734794505399,-0.59595259194326,-0.252734794505399,0.798868656219918,0.132973745971843,0.635031965613469,-0.0518878446705404,-0.419699749020763,-0.170982384882633,-0.00530220026998635,0.566612283321399,0.901208399220411,0.836919646356332,0.0900409515062076,0.494071163974128,0.85758318978123,-1.22362335405842,1.37356795932411,0.981200339908284,-0.812979577789969,-0.144721594718556,-0.37270693523023,-0.357580412643839,0.357580412643839,-0.316895051766391,0.510155382391399,0.152301494130118,-0.357911584469705,-0.376190602911226,0.376190602911226,0.621403813408281,0.0351874909546701,-0.0351874909546701,1.07442440166384,-0.0899771862924527,-0.112182285611748,-0.110818348087953,0.252715039637865,-0.266491412783789,0.252715039637865,-0.266491412783789,0.253211562285914,-0.216897659773672,-0.0518878446705404,-0.376190602911226,-0.376190602911226,0.383904048618773,-0.357580412643839,0.0351874909546701,"2019","5","no change",0.0489920088929606,2.54611760241411,266287.333726983,2.56683603194953,-0.0241836618296503,-1.19018374846195,0.440313341056388,-0.10925594932252,"0"
"2",2019,1988,2,"Female_M038044_060519",2,10,5,"5","0",0,"2","2",82,62.9110879168766,66.4074163350662,5.69277777777778,6.37166666666667,0.378791968551966,0.351258105354139,639.06923371659,1362.95474439802,639.06923371659,1362.95474439802,3.5,9.4,35,47,10,5,12,8,0.342857142857143,0.170212765957447,0.342857142857143,0.170212765957447,2,2,4,15,"1",6,5,5,5,0.833333333333333,0.833333333333333,0.833333333333333,1,"White","Red",-8,-2.25,96,54,15,5,0.666666666666667,0.333333333333333,0.0275338631978275,-723.885510681431,-12,5,0.666666666666667,0.333333333333333,0,0.5,0.5,0.166666666666667,0.25,0.172644376899696,"1988",3,1,2,0.24,-0.0600000000000001,50,100,150,0.333333333333333,0.666666666666667,0.333333333333333,"male contribution","both old (2+ years)",0.333333333333333,"male contribution",0,"equal",-0.834793719444005,-1.43283494753384,-0.697398440240488,-0.697398440240488,0.157809742261148,0.54403911975606,0.66429831119101,0.674268740789851,0.0192173417217167,1.2480901400012,-0.0898927512736638,0.133626410920341,0.194736213277636,0.854696457970681,-0.34708163320793,-0.106283694672108,-0.34708163320793,-0.106283694672108,-0.532089802708926,0.535355452238332,-0.316395076017991,1.60461900791181,0.222840061411307,0.62384650840112,0.0811350318897892,1.07149284741229,0.265563570155286,-0.491245394695055,0.265563570155286,-0.491245394695055,0.00476936511176077,1.12803571021057,0.635031965613469,0.461339450635101,-0.419699749020763,-0.170982384882633,-0.00530220026998635,0.566612283321399,0.901208399220411,0.836919646356332,0.0900409515062076,0.494071163974128,0.85758318978123,-1.22362335405842,1.37356795932411,0.981200339908284,-0.812979577789969,0.362565679400172,-0.153040723846749,-0.357580412643839,0.357580412643839,-0.575234629384249,-0.0182029767576176,-1.58159243904353,-0.143550869310691,-0.376190602911226,0.376190602911226,-0.803225927486436,-0.916014207822913,0.916014207822913,-0.0894787033291172,0.0469830419823097,0.578695261852985,0.396982004926653,0.63581070620369,0.139015466797781,0.63581070620369,0.139015466797781,0.62384650840112,0.222840061411306,0.461339450635101,-0.376190602911226,-0.376190602911226,0.383904048618773,-0.357580412643839,-0.916014207822913,"2019","5","no change",0.0489920088929606,2.54611760241411,266287.333726983,2.56683603194953,-0.042121055721176,0.176202539804567,1.92757822058653,-1.17856431967886,"0"
"3",2019,1988,3,"Female_M038044_060519",3,6,5,"5","0",0,"2","2",69,70.5146078830684,39.0811624934296,7.45527777777778,4.0925,0.331179240195115,0.279226990880204,1139.61727888744,768.539819869863,1139.61727888744,768.539819869863,6.66666666666667,5.8,40,29,6,5,9,8,0.225,0.275862068965517,0.225,0.275862068965517,2,3,5,11,"1",6,5,5,5,0.833333333333333,0.833333333333333,0.833333333333333,1,"White","Red",-8,-2.25,96,54,11,1,0.545454545454545,0.454545454545455,0.051952249314911,371.077459017574,11,1,0.545454545454545,0.454545454545455,-1,0.4,0.6,0.222222222222222,0.375,-0.0508620689655172,"1988",2.2,1,1.2,0.24,-0.86,50,60,110,0.0909090909090909,0.545454545454545,0.454545454545455,"male contribution","both old (2+ years)",0.0909090909090909,"male contribution",-0.2,"female eats more",-0.834793719444005,-1.43283494753384,-0.0163612537299821,-0.0163612537299821,-0.714400119530757,0.54403911975606,0.66429831119101,0.242029827880142,0.393133671001976,-0.170338905753225,0.409051336190163,-0.307733666100416,-0.36128144561799,0.126970095791117,0.890462149604022,-0.634130705945536,0.890462149604022,-0.634130705945536,0.727684109183367,-0.113338330972276,-0.0644592550854444,0.517092285453263,-0.65663538095865,0.62384650840112,-0.466526433366288,1.07149284741229,-0.667545066307594,0.0428635355470967,-0.667545066307594,0.0428635355470967,0.00476936511176077,2.12309767444931,1.19225369038102,-0.222963609772421,-0.419699749020763,-0.170982384882633,-0.00530220026998635,0.566612283321399,0.901208399220411,0.836919646356332,0.0900409515062076,0.494071163974128,0.85758318978123,-1.22362335405842,1.37356795932411,0.981200339908284,-0.812979577789969,-0.313817352758132,-1.03170556938067,-1.21347389743453,1.21347389743453,-0.368437685982277,0.944843570580513,-0.473826870627033,-1.00099372994675,-1.07749346995502,1.07749346995502,-1.51554079793379,-1.29649488733395,1.29649488733395,0.520184827857671,0.389383612669216,-0.411191838214984,-0.280085132426155,0.63581070620369,-0.67199829236536,0.63581070620369,-0.67199829236536,0.62384650840112,-0.65663538095865,-0.222963609772421,-1.07749346995502,-1.07749346995502,1.08227768544585,-1.21347389743453,-1.29649488733395,"2019","5","no change",0.0489920088929606,2.54611760241411,266287.333726983,2.56683603194953,-0.843955718563908,-1.44145116792548,0.911109918120694,0.174681059670815,"0"
"4",2019,1988,4,"Female_M038044_060519",4,4,2,"5","0",0,"2","2",28,36.1577825984533,39.894129569928,3.69694444444444,4.17805555555556,0.339289244128982,0.422242605182711,891.627772363778,2084.48162870362,891.627772363778,2084.48162870362,3.25,7.5,13,15,4,2,4,4,0.307692307692308,0.266666666666667,0.307692307692308,0.266666666666667,0,1,1,6,"1",6,5,5,5,0.833333333333333,0.833333333333333,0.833333333333333,1,"White","Red",-8,-2.25,96,54,6,2,0.666666666666667,0.333333333333333,-0.0829533610537291,-1192.85385633984,-2,2,0.666666666666667,0.333333333333333,-1,0,1,0,0.25,0.041025641025641,"1988",1.2,0.4,0.8,-0.36,-1.26,20,40,60,0.333333333333333,0.666666666666667,0.333333333333333,"male contribution","both old (2+ years)",0.333333333333333,"male contribution",-1,"female eats more",-0.834793719444005,-1.43283494753384,0.664675932780524,0.664675932780524,-1.15050505042671,-0.604999105690672,0.66429831119101,-1.12118520514279,-1.29642301501548,-0.128140069380331,-0.654890902326082,-0.291165853337175,-0.26657346402226,1.57184893032449,0.277338444573453,0.534440139334007,0.277338444573453,0.534440139334007,-0.631545637858318,0.192989288877178,-1.4249126881212,-0.328761832014495,-1.09637310214363,-0.488058329944498,-1.37929554212642,-0.116873907586187,-0.0128464658989065,-0.0036237231962017,-0.0128464658989065,-0.0036237231962017,-1.58342921710455,0.132973745971843,-1.03663320868918,-1.07834243528182,-0.419699749020763,-0.170982384882633,-0.00530220026998635,0.566612283321399,0.901208399220411,0.836919646356332,0.0900409515062076,0.494071163974128,0.85758318978123,-1.22362335405842,1.37356795932411,0.981200339908284,-0.812979577789969,-1.15929614295601,-0.812039357997191,-0.357580412643839,0.357580412643839,-1.51094021412823,-0.430672036073256,-1.09995523538418,-0.786633014787733,-0.376190602911226,0.376190602911226,-1.51554079793379,-2.81841760537808,2.81841760537808,-1.91846929688948,0.0469830419823097,-0.00423060529426928,-1.12641905411716,-0.513476293493785,-1.07750517194693,-0.513476293493785,-1.07750517194693,-0.488058329944498,-1.09637310214363,-1.07834243528182,-0.376190602911226,-0.376190602911226,0.383904048618773,-0.357580412643839,-2.81841760537808,"2019","5","no change",0.0489920088929606,2.54611760241411,266287.333726983,2.56683603194953,-2.20645394021321,0.458417008818067,-0.193059710908276,0.272670639948373,"0"
"5",2019,1992,1,"Female_M034644_220519",1,13,7,"5","0",0,"2","2",103,102.182651269151,87.2250481012028,7.19083333333333,7.0775,0.462520626882989,0.310455468379711,823.935531387089,1101.69840028629,823.935531387089,1101.69840028629,4.92307692307692,5.57142857142857,64,39,12.5,7,17,9,0.265625,0.230769230769231,0.265625,0.230769230769231,3.5,2,5.5,19.5,"1",5,5,5,5,1,1,1,1,"Intermediate","Intermediate",-4.25,-7.25,45,57,20,6,0.65,0.35,0.152065158503277,-277.762868899203,25,5.5,0.641025641025641,0.358974358974359,1.5,0.636363636363636,0.363636363636364,0.205882352941176,0.222222222222222,0.0348557692307692,"1992",3.9,1.4,2.5,0.64,0.44,70,125,195,0.282051282051282,0.641025641025641,0.358974358974359,"male contribution","both old (2+ years)",0.3,"male contribution",0.272727272727273,"male eats more",-0.834793719444005,-1.36945580397076,-1.37843562675099,-1.37843562675099,0.811967138605076,1.31006460338722,0.66429831119101,1.37250083087477,1.95046482697482,2.32867490409045,0.334190064123092,0.270310866217079,1.17251283298246,0.442469675286677,0.109977663178898,-0.338282210734041,0.109977663178898,-0.338282210734041,0.0340434127568413,-0.15452523784279,1.14483268539078,1.12127379793023,0.77251221289253,1.36511640063153,0.993904140649918,1.36858453616191,-0.345905346920768,-0.185102829444078,-0.345905346920768,-0.185102829444078,1.195918301774,1.12803571021057,1.47086455276479,1.23118039359356,-0.419699749020763,-0.910425685738699,-0.00530220026998635,0.566612283321399,0.901208399220411,1.5069574366605,1.14589133112037,1.3315448704305,0.85758318978123,1.11978921969301,-1.4463958535916,-0.326858257954784,-0.723118259111923,1.20804446959805,0.0666254875367313,-0.47526576680256,0.475265766802559,0.479408830817172,0.374172730683743,0.200465214496052,-0.0363705117311841,-0.524543132478181,0.524543132478182,0.265246378184602,-0.397176917580595,0.397176917580595,0.340872024567439,-0.0291059737258917,-0.0315563339781748,1.15868253444856,1.40200203933534,0.645899066274744,1.40200203933534,0.645899066274744,1.36511640063153,0.772512212892529,1.23118039359356,-0.524543132478182,-0.524543132478181,0.531636933332194,-0.47526576680256,-0.397176917580595,"2019","5","no change",0.00754421867839308,-0.130384778361345,38986.455863026,-0.206927671616057,2.28232104510736,-1.05767285184391,2.71637427188961,-1.07063275017831,"0"
"6",2019,1992,2,"Female_M034644_220519",2,5,5,"5","0",0,"2","2",32,70.4093809316819,40.8466485511511,7.25277777777778,6.42972222222222,0.30035958737971,0.133272540916315,1351.59100324221,511.027034491801,1351.59100324221,511.027034491801,3.8,2.6,19,13,4,5,5,6,0.263157894736842,0.461538461538462,0.263157894736842,0.461538461538462,1,1,2,9,"1",5,5,5,5,1,1,1,1,"Intermediate","Intermediate",-4.25,-7.25,45,57,10,0,0.5,0.5,0.167087046463395,840.563968750414,6,-1,0.444444444444444,0.555555555555556,0,0.5,0.5,0.2,0.166666666666667,-0.198380566801619,"1992",1.8,1,0.8,0.24,-1.26,50,40,90,-0.111111111111111,0.444444444444444,0.555555555555556,"female contribution","both old (2+ years)",0,"equal",0,"equal",-0.834793719444005,-1.36945580397076,-0.697398440240488,-0.697398440240488,-0.932452584978733,0.54403911975606,0.66429831119101,-0.988188616555184,0.38795895250597,-0.0786974857964576,0.351725845290064,0.144868855295397,-0.721190902559065,-1.34759963274716,1.4145412409632,-0.862804900548579,1.4145412409632,-0.862804900548579,-0.412742800529656,-0.689955027159482,-1.12258970300214,-0.449598134509889,-1.09637310214363,0.62384650840112,-1.19674172037439,0.477309469913053,-0.36543812340175,0.981548567863699,-0.36543812340175,0.981548567863699,-0.789329925996397,0.132973745971843,-0.47941148392163,-0.565115139976182,-0.419699749020763,-0.910425685738699,-0.00530220026998635,0.566612283321399,0.901208399220411,1.5069574366605,1.14589133112037,1.3315448704305,0.85758318978123,1.11978921969301,-1.4463958535916,-0.326858257954784,-0.723118259111923,-0.482913110797708,-1.25137178076415,-1.53443395423104,1.53443395423104,0.606627742803575,1.35776836779473,-0.714645472456706,-1.42971516026477,-1.66191252582484,1.66191252582484,-0.803225927486436,-0.916014207822913,0.916014207822913,0.276319415382956,-0.181284005142294,-1.06453611857379,-0.618618701102558,0.63581070620369,-1.07750517194693,0.63581070620369,-1.07750517194693,0.62384650840112,-1.09637310214363,-0.565115139976182,-1.66191252582484,-1.66191252582484,1.66425571613508,-1.53443395423104,-0.916014207822913,"2019","5","no change",0.00754421867839308,-0.130384778361345,38986.455863026,-0.206927671616057,-2.00263021399556,-1.26173194420191,0.270283179670824,1.44410226141726,"0"
"7",2019,1992,3,"Female_M034644_220519",3,11,9,"5","0",0,"2","2",81,53.9286015525513,80.5981354807493,4.97694444444444,6.50388888888889,0.459734537695026,0.39878025044644,457.574212265601,801.602542086999,457.574212265601,801.602542086999,2.45454545454545,6,27,54,10.5,9,12,12,0.444444444444444,0.222222222222222,0.444444444444444,0.222222222222222,1.5,2,3.5,19.5,"1",5,5,5,5,1,1,1,1,"Intermediate","Intermediate",-4.25,-7.25,45,57,20,2,0.55,0.45,0.0609542872485865,-344.028329821398,-27,1.5,0.538461538461538,0.461538461538462,-0.5,0.428571428571429,0.571428571428571,0.125,0.166666666666667,0.222222222222222,"1992",3.9,1.8,2.1,1.04,0.04,90,105,195,0.0769230769230769,0.538461538461538,0.461538461538462,"male contribution","both old (2+ years)",0.1,"male contribution",-0.142857142857143,"female eats more",-0.834793719444005,-1.36945580397076,-0.0163612537299821,-0.0163612537299821,0.375862207709124,2.07609008701837,0.66429831119101,0.64101959364295,-0.42251206046209,1.9846904926522,-0.292537182068665,0.159231212463531,1.13997710480165,1.33481005920482,-0.79580586173095,-0.604770643829444,-0.79580586173095,-0.604770643829444,-0.947996022424564,-0.0772997874605751,-0.719492389510065,2.02754606664569,0.332774491707551,2.10638629286195,0.0811350318897892,2.25985960241077,1.0698592298674,-0.228312140455477,1.0698592298674,-0.228312140455477,-0.392280280442318,1.12803571021057,0.356421103229694,1.23118039359356,-0.419699749020763,-0.910425685738699,-0.00530220026998635,0.566612283321399,0.901208399220411,1.5069574366605,1.14589133112037,1.3315448704305,0.85758318978123,1.11978921969301,-1.4463958535916,-0.326858257954784,-0.723118259111923,1.20804446959805,-0.812039357997191,-1.18137789175488,1.18137789175488,-0.292200299934463,0.315890647074621,-2.30404824453255,-0.893813372367239,-1.11795325074601,1.11795325074601,-1.15938336271012,-1.18778612175937,1.18778612175937,-0.546726351719208,-0.181284005142294,0.798270448349081,1.15868253444856,2.16819337246699,0.240392186693174,2.16819337246699,0.240392186693174,2.10638629286195,0.332774491707551,1.23118039359356,-1.11795325074601,-1.11795325074601,1.12256847218588,-1.18137789175488,-1.18778612175937,"2019","5","no change",0.00754421867839308,-0.130384778361345,38986.455863026,-0.206927671616057,-0.21163477831018,0.644391547125076,4.29432636490177,-0.727135287499077,"0"
"8",2019,1992,4,"Female_M034644_220519",4,10,7,"5","0",0,"2","2",89,76.1089298564642,53.4600436544904,4.84138888888889,5.82444444444444,0.463647900880486,0.38907168026197,834.286847371491,615.280540957946,834.286847371491,615.280540957946,6.1,4,61,28,10,6.5,12,7,0.19672131147541,0.25,0.19672131147541,0.25,2,0.5,2.5,16.5,"1",5,5,5,5,1,1,1,1,"Intermediate","Intermediate",-4.25,-7.25,45,57,17,3,0.588235294117647,0.411764705882353,0.0745762206185163,219.006306413545,33,3.5,0.606060606060606,0.393939393939394,1.5,0.8,0.2,0.166666666666667,0.0714285714285714,-0.0532786885245902,"1992",3.3,1.3,2,0.54,-0.0600000000000001,65,100,165,0.212121212121212,0.606060606060606,0.393939393939394,"male contribution","both old (2+ years)",0.176470588235294,"male contribution",0.6,"male eats more",-0.834793719444005,-1.36945580397076,0.664675932780524,0.664675932780524,0.157809742261148,1.31006460338722,0.66429831119101,0.907012770818156,0.668244191708839,0.576028408350532,-0.330911447582037,0.0276569591554543,1.18567704916274,1.23672491205822,0.135570025118991,-0.770226636557964,0.135570025118991,-0.770226636557964,0.502250882844746,-0.437685222577579,0.993671192831251,0.456674134205566,0.222840061411307,1.17979892757393,0.0811350318897892,0.774401158662672,-0.891435514102712,-0.0878818796684301,-0.891435514102712,-0.0878818796684301,0.00476936511176077,-0.364557236147523,-0.200800621537856,0.717953098287921,-0.419699749020763,-0.910425685738699,-0.00530220026998635,0.566612283321399,0.901208399220411,1.5069574366605,1.14589133112037,1.3315448704305,0.85758318978123,1.11978921969301,-1.4463958535916,-0.326858257954784,-0.723118259111923,0.700757195479325,-0.592373146613711,-0.911393843978994,0.911393843978994,-0.176837467574465,0.811093295440799,0.58577497742353,-0.465091942049212,-0.726842036433121,0.726842036433121,0.265246378184602,0.225427830710187,-0.225427830710187,-0.0894787033291172,-0.442160630427556,-0.42189479811414,0.650882181433956,1.21045420605243,0.139015466797781,1.21045420605243,0.139015466797781,1.17979892757393,0.222840061411306,0.717953098287922,-0.726842036433121,-0.726842036433121,0.733090867032312,-0.911393843978994,0.225427830710187,"2019","5","no change",0.00754421867839308,-0.130384778361345,38986.455863026,-0.206927671616057,1.2713982328888,-1.43576937863381,2.14951138762109,0.31673060208117,"0"
"9",2019,1992,5,"Female_M034644_220519",5,4,3,"5","0",0,"2","2",31,22.4747349176763,42.8630871582277,2.12361111111111,5.38166666666667,0.451409137281417,0.180109516299505,531.735995823044,1079.88481429727,531.735995823044,1079.88481429727,2.5,7,10,21,4,3,5,3,0.5,0.142857142857143,0.5,0.142857142857143,1,0,1,7,"1",5,5,5,5,1,1,1,1,"Intermediate","Intermediate",-4.25,-7.25,45,57,7,1,0.571428571428571,0.428571428571429,0.271299620981911,-548.148818474224,-11,1,0.571428571428571,0.428571428571429,1,1,0,0.2,0,0.357142857142857,"1992",1.4,0.6,0.8,-0.16,-1.26,30,40,70,0.142857142857143,0.571428571428571,0.428571428571429,"male contribution","both old (2+ years)",0.142857142857143,"male contribution",1,"male eats more",-0.834793719444005,-1.36945580397076,1.34571311929103,1.34571311929103,-1.15050505042671,-0.221986363875095,0.66429831119101,-1.02143776370208,-1.96931070189104,0.0259701757803387,-1.10028401680916,-0.0580868510543063,1.04275374022885,-0.874408263155938,-0.612449928071408,-0.357652915765719,-0.612449928071408,-0.357652915765719,-0.929913143306493,0.102892930097927,-1.57607418068072,0.0337470754716866,-1.09637310214363,-0.117423383829292,-1.19674172037439,-0.413965596335806,1.50970841877246,-0.629541456989898,1.50970841877246,-0.629541456989898,-0.789329925996397,-0.862088218266889,-1.03663320868918,-0.907266670179942,-0.419699749020763,-0.910425685738699,-0.00530220026998635,0.566612283321399,0.901208399220411,1.5069574366605,1.14589133112037,1.3315448704305,0.85758318978123,1.11978921969301,-1.4463958535916,-0.326858257954784,-0.723118259111923,-0.990200384916437,-1.03170556938067,-1.03006815069367,1.03006815069367,1.48919392760978,0.136361715706181,-1.5334287186776,-1.00099372994675,-0.927214284159919,0.927214284159919,-0.0909110570390773,0.986389189732253,-0.986389189732253,0.276319415382956,-0.637818099391502,1.39582008734901,-0.957152269778962,-0.13038062692796,-1.07750517194693,-0.13038062692796,-1.07750517194693,-0.117423383829292,-1.09637310214363,-0.907266670179942,-0.927214284159919,-0.927214284159919,0.932626191840049,-1.03006815069367,0.986389189732253,"2019","5","no change",0.00754421867839308,-0.130384778361345,38986.455863026,-0.206927671616057,-2.6860175542841,0.655816054476592,-0.0944505763469707,0.114777363246054,"0"
"10",2019,1993,1,"Female_M031590_290519",1,13,1,"4","0",0,"2","2",55,85.0390084403348,62.1422120107369,6.23277777777778,6.43722222222222,0.465528425118834,0.206223912966634,720.360366503594,4774.28980909055,720.360366503594,4774.28980909055,3.30769230769231,12,43,12,12.5,0,15,4,0.348837209302326,0.333333333333333,0.348837209302326,0.333333333333333,2.5,0,2.5,12.5,"1",5,4,4,3,0.6,0.8,0.8,0.75,"Intermediate","Intermediate",-7,-6.75,47,53,14,12,0.928571428571429,0.0714285714285714,0.2593045121522,-4053.92944258695,31,12.5,1,0,2.5,1,0,0.166666666666667,0,0.0155038759689923,"1993",3.125,0,3.125,-0.76,1.065,0,125,125,1,1,0,"male contribution","both old (2+ years)",0.857142857142857,"male contribution",1,"male eats more",-0.834793719444005,-1.35361101807999,-1.37843562675099,-1.37843562675099,0.811967138605076,-0.988011847506249,0.66429831119101,-0.223458232176468,1.10739635006604,1.02669536943488,0.0629752244599344,0.146321228492175,1.20763766180956,-0.610575959215112,-0.14609925609374,2.9230194806806,-0.14609925609374,2.9230194806806,-0.608594291285381,1.00385651789044,0.0867022374740836,-0.510016285757586,0.77251221289253,-1.22932822217491,0.628796497145866,-0.116873907586187,0.312909462914502,0.333408902692712,0.312909462914502,0.333408902692712,0.401819010665839,-0.862088218266889,-0.200800621537856,0.0336500378803998,-0.419699749020763,-0.910425685738699,-0.888118545222767,-0.40597478031791,-0.55207197337231,-0.101133260069505,-0.121129124416626,0.326576422682854,-0.0836863504682456,-0.598713334391371,-1.16439947230003,-0.275561842352311,-0.842933350682651,0.193469921360596,1.38462275583761,1.4917608669932,-1.4917608669932,1.38760851447624,-2.94705755892442,0.48944753669166,1.46415449438191,1.5523922814592,-1.5523922814592,0.977561248631961,0.986389189732253,-0.986389189732253,-0.0894787033291172,-0.637818099391502,-0.117263882266413,0.502773745138029,-1.27966762662544,1.27950356562095,-1.27966762662544,1.27950356562095,-1.22932822217491,0.772512212892529,0.0336500378803999,1.5523922814592,1.5523922814592,-1.53662345265569,1.4917608669932,0.986389189732253,"2019","4","no change",0.0187048114346331,0.862886921458015,101118.303378066,0.842580125942899,2.157663492282,1.07638425188674,-2.02149673138525,-0.774702201955955,"0"
