"","days","BroodID","RingId","ObservationDate","LeftWing","CalculatedMass","Year","Observation.n","Chick.n","found.dead","hatch.date.est","hatch.date.est1","length.chick","length.chick.check","Rank","temp","diff.weight","temp1","diff.wing","temp2","days.prev.measure","daily.weight.change","daily.wing.growth","CI","brood.sizeF","brood.size.change01","brood.size.change","prey.nest.Fcoop01","prey.per.chickF","prey.per.chickM","prey.per.chick","prop.succ.dives.F","prop.succ.dives.M","vedba.avg.F","vedba.avg.M","hunt.att.sum.F","hunt.att.sum.M","prey.nest.Fcoop01_z","prey.per.chickF_z","prey.per.chickM_z","prey.per.chick_z","prop.succ.dives.F_z","prop.succ.dives.M_z","vedba.avg.F_z","vedba.avg.M_z","hunt.att.sum.F_z","hunt.att.sum.M_z","egg.nestl.ratio2","Nb_Eggs","Nb_Nestlings2","group12","group123","Date_attached.M","Date_attached_julian.M","Date_recapture.M","Date_recapture_julian.M","Date_attached.F","Date_attached_julian.F","Date_recapture.F","Date_recapture_julian.F","hatch.to.gps.depl","obs.to.gps.depl","obs.to.gps.rec","track.periodF","check.deplMF","time.group","YearF"
"656",29,1988,"M043677",2019-05-16,132,291.4,2019,2,2,0,NA,2019-04-17,29,0,"4",190.1,101.3,67,65,2019-05-06,10,10.13,6.5,2.20757575757576,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,1641600,10,-1,11,0,"2","2019"
"657",46,1988,"M043677",2019-06-04,219,352,2019,3,2,0,NA,2019-04-17,48,0,"4",291.4,60.6,132,87,2019-05-16,19,3.18947368421053,4.57894736842105,1.60730593607306,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,1641600,29,18,11,0,"3","2019"
"658",22,1988,"M043678",2019-05-06,87,236.7,2019,1,3,0,2019-04-14,2019-04-14,22,0,"3",NA,NA,NA,NA,NA,NA,NA,NA,2.72068965517241,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,1900800,0,-11,11,0,"1","2019"
"659",31,1988,"M043678",2019-05-16,147,313.3,2019,2,3,0,NA,2019-04-14,32,0,"3",236.7,76.6,87,60,2019-05-06,10,7.66,6,2.1312925170068,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,1900800,10,-1,11,0,"2","2019"
"660",50,1988,"M043678",2019-06-04,238,365,2019,3,3,0,NA,2019-04-14,51,0,"3",313.3,51.7,147,91,2019-05-16,19,2.72105263157895,4.78947368421053,1.53361344537815,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,1900800,29,18,11,0,"3","2019"
"661",62,1988,"M043678",2019-06-13,269,337,2019,4,2,0,NA,2019-04-17,57,0,"3",365,-28,238,31,2019-06-04,9,-3.11111111111111,3.44444444444444,1.25278810408922,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,1641600,38,27,11,0,"3","2019"
"662",25,1988,"M043679",2019-05-06,108,287.4,2019,1,4,0,2019-04-11,2019-04-11,25,0,"2",NA,NA,NA,NA,NA,NA,NA,NA,2.66111111111111,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,2160000,0,-11,11,0,"1","2019"
"663",34,1988,"M043679",2019-05-16,164,339.2,2019,2,4,0,NA,2019-04-11,35,0,"2",287.4,51.8,108,56,2019-05-06,10,5.18,5.6,2.06829268292683,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,2160000,10,-1,11,0,"2","2019"
"664",54,1988,"M043679",2019-06-04,251,386,2019,3,4,0,NA,2019-04-11,54,0,"2",339.2,46.8,164,87,2019-05-16,19,2.46315789473684,4.57894736842105,1.53784860557769,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,2160000,29,18,11,0,"3","2019"
"665",63,1988,"M043679",2019-06-13,276,369,2019,4,3,0,NA,2019-04-14,60,0,"2",386,-17,251,25,2019-06-04,9,-1.88888888888889,2.77777777777778,1.33695652173913,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,1900800,38,27,11,0,"3","2019"
"666",63,1988,"M043679",2019-06-25,299,344,2019,5,2,0,NA,2019-04-14,72,0,"2",369,-25,276,23,2019-06-13,12,-2.08333333333333,1.91666666666667,1.1505016722408,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,1900800,50,39,11,0,"3","2019"
"667",26,1988,"M043680",2019-05-06,115,300.7,2019,1,5,0,2019-04-10,2019-04-10,26,0,"1",NA,NA,NA,NA,NA,NA,NA,NA,2.61478260869565,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,2246400,0,-11,11,0,"1","2019"
"668",36,1988,"M043680",2019-05-16,169,342.2,2019,2,5,0,NA,2019-04-10,36,0,"1",300.7,41.5,115,54,2019-05-06,10,4.15,5.4,2.02485207100592,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,2246400,10,-1,11,0,"2","2019"
"669",54,1988,"M043680",2019-06-04,251,381,2019,3,5,0,NA,2019-04-10,55,0,"1",342.2,38.8,169,82,2019-05-16,19,2.0421052631579,4.31578947368421,1.51792828685259,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,2246400,29,18,11,0,"3","2019"
"670",63,1988,"M043680",2019-06-13,280,350,2019,4,4,0,NA,2019-04-11,63,0,"1",381,-31,251,29,2019-06-04,9,-3.44444444444444,3.22222222222222,1.25,"5","0",0,0.363636363636364,0.8,1.4,2.2,0.219298245614035,0.266666666666667,0.323715055290067,0.355768547328311,114,135,0.861308899317387,0.470673724947248,-0.567479901118712,-0.295622515668369,0.00891441731315356,-0.293171367611219,0.605968080599652,-0.354503932099318,0.226242581880154,-1.19464206595457,0.833333333333333,6,5,"2","3",2019-05-06,126,2019-05-17,137,2019-05-06,126,2019-05-17,137,2160000,38,27,11,0,"3","2019"
