"","BroodID","yearF","night_nb_real","preys.nest10","prey.to.nest.F10","prey.to.nest.M10","prey.per.chick","prey.per.chickF","prey.per.chickM","prey.nest.Fcoop01_z","prey.nest.Fcoop01","vedba.avg.F","hunt.att.sum.F","prop.prey.eaten.prey.capturedF1","prop.succ.dives.F","vedba.avg.M","hunt.att.sum.M","prop.succ.dives.M","prop.prey.eaten.prey.capturedM","vedba.avg.M_z","hunt.att.sum.M_z","prop.prey.eaten.prey.capturedM_z","prop.succ.dives.M_z","prey.per.chickM_z","vedba.avg.F_z","hunt.att.sum.F_z","prop.prey.eaten.prey.capturedF_z","prop.prey.eaten.prey.capturedF1_z","prop.succ.dives.F_z","prey.per.chickF_z","area_wildflower","area_wildflower.zsqrt","brood.size.fin","brood.size.changeF","brood.size.change01F","n_encounters","n_nest_encounters","prop.nest.encounters","avg_t_encounter_nest","avg_t_encounter","min_t_encounter","max_t_encounter","avg.min_nest_distance","min_nest_distance","time_at_nest_M","time_at_nest_F","SMI_M","SMI_M_z","SMI_F","SMI_F_z","SMIr_M","SMIr_M_z","SMIr_F","SMIr_F_z","SMI_diff_F","SMI_diff_M","SMI_diff_F_z","SMI_diff_M_z","youngest.chick.age","ObservationDate","Rank","Date_recapture","days.diff","youngest.chick.age_z","n_out_encounters","n_out_encounters_z","n_encounters_z","n_nest_encounters_z","prop.nest.encounters_z","avg_t_encounter_nest_z","avg_t_encounter_z","min_t_encounter_z","max_t_encounter_z","time_at_nest_M_z","time_at_nest_F_z"
"1",1988,"2019",1,120,40,80,2.4,0.8,1.6,0.383904048618773,0.333333333333333,0.295632548275985,23,0.2,0.217391304347826,0.353670902748305,47,0.234042553191489,0.272727272727273,-0.0986255972959647,0.288250894220121,1.07442440166384,-0.59595259194326,-0.266491412783789,0.292714534015517,0.154583377967081,-0.0899771862924527,-0.019481963274052,-0.252734794505399,0.252715039637865,266287.333726983,2.56683603194953,"5","no change","0",3,1,0.333333333333333,141,110.666666666667,16,175,398.78285437012,5.92286158955926,1976,3707,266.1524799284,-0.677497938650142,278.822841126533,-1.48031961802827,289.900918248925,0.582762261711669,272.100312727265,-1.27418994961062,6.72252839926875,-23.7484383205246,-0.17996855855327,-1.33266122675459,20,2019-05-16,5,2019-05-17,1,-0.824923905626997,2,0.47693256490818,-0.594003934329659,-0.851449150639492,-1.46383245269049,-0.596747316687147,-0.58429081358623,-0.361869506225508,-0.733291944603867,-0.709912681355296,-0.3492550981128
"2",1988,"2019",2,150,50,100,3,1,2,0.383904048618773,0.333333333333333,0.351258105354139,47,0.25,0.170212765957447,0.378791968551966,35,0.342857142857143,0.166666666666667,0.194736213277636,-0.316395076017991,-0.0894787033291172,0.265563570155286,0.139015466797781,0.854696457970681,1.60461900791181,0.0469830419823097,0.185674318277588,-0.491245394695055,0.63581070620369,266287.333726983,2.56683603194953,"5","no change","0",4,1,0.25,636,161.75,2,636,582.72400899466,4.26135561592374,3834,3235,266.1524799284,-0.677497938650142,278.822841126533,-1.48031961802827,289.900918248925,0.582762261711669,272.100312727265,-1.27418994961062,6.72252839926875,-23.7484383205246,-0.17996855855327,-1.33266122675459,20,2019-05-16,5,2019-05-17,1,-0.824923905626997,3,1.06338297805454,-0.353504780430334,-0.851449150639492,-1.74864804206891,0.609901762680146,-0.45169865689594,-0.460949290278168,-0.360725473698433,-0.0968025700915893,-0.430363488642739
"3",1988,"2019",3,110,50,60,2.2,1,1.2,1.08227768544585,0.454545454545455,0.279226990880204,29,0.375,0.275862068965517,0.331179240195115,40,0.225,0.222222222222222,-0.36128144561799,-0.0644592550854444,0.520184827857671,-0.667545066307594,-0.67199829236536,0.126970095791117,0.517092285453263,0.389383612669216,0.698565022156688,0.0428635355470967,0.63581070620369,266287.333726983,2.56683603194953,"5","no change","0",3,2,0.666666666666667,89.5,60.6666666666667,0,179,260.024027910181,11.0952613919026,2720,1636,266.1524799284,-0.677497938650142,278.822841126533,-1.48031961802827,289.900918248925,0.582762261711669,272.100312727265,-1.27418994961062,6.72252839926875,-23.7484383205246,-0.17996855855327,-1.33266122675459,20,2019-05-16,5,2019-05-17,1,-0.824923905626997,1,-0.109517848238175,-0.594003934329659,-0.59210867539884,-0.324570095176784,-0.722287574439502,-0.714071064832844,-0.475103545142834,-0.730059263728332,-0.464404649719021,-0.705135345543953
"4",1988,"2019",4,60,20,40,1.2,0.4,0.8,0.383904048618773,0.333333333333333,0.422242605182711,15,0.25,0.266666666666667,0.339289244128982,13,0.307692307692308,0,-0.26657346402226,-1.4249126881212,-1.91846929688948,-0.0128464658989065,-1.07750517194693,1.57184893032449,-0.328761832014495,0.0469830419823097,0.185674318277588,-0.0036237231962017,-0.513476293493785,266287.333726983,2.56683603194953,"5","no change","0",0,0,NA,NA,0,NA,NA,NA,NA,0,0,266.1524799284,-0.677497938650142,278.822841126533,-1.48031961802827,289.900918248925,0.582762261711669,272.100312727265,-1.27418994961062,6.72252839926875,-23.7484383205246,-0.17996855855327,-1.33266122675459,20,2019-05-16,5,2019-05-17,1,-0.824923905626997,0,-0.69596826138453,-1.31550139602764,-1.11078962588015,NA,NA,-0.871537769678735,NA,NA,-1.36196089441078,-0.986265275431624
"5",1992,"2019",1,195,70,125,3.9,1.4,2.5,0.531636933332194,0.358974358974359,0.310455468379711,39,0.222222222222222,0.230769230769231,0.462520626882989,64,0.265625,0.205882352941176,1.17251283298246,1.14483268539078,0.340872024567439,-0.345905346920768,0.645899066274744,0.442469675286677,1.12127379793023,-0.0291059737258917,0.0716986063044546,-0.185102829444078,1.40200203933534,38986.455863026,-0.206927671616057,"5","no change","0",8,8,1,185.625,185.625,2,590,5.68616183867922,1.03612838212298,4840,4615,260.116800889173,-0.951717811882297,321.175089839652,-0.21453609154018,250.805533650845,-1.47005708351353,336.50179774539,0.577318070677035,-15.326707905738,9.31126723832847,-0.938437513885271,0.361739709887385,26,2019-05-31,5,2019-06-01,1,0.110743209248556,0,-0.69596826138453,0.608491835166968,0.963934176045077,0.81469226233692,-0.487966073926005,-0.389728586925682,-0.460949290278168,-0.397901303767088,0.235161246878964,-0.193224550228934
"6",1992,"2019",2,90,50,40,1.8,1,0.8,1.66425571613508,0.555555555555556,0.133272540916315,13,0.166666666666667,0.461538461538462,0.30035958737971,19,0.263157894736842,0.2,-0.721190902559065,-1.12258970300214,0.276319415382956,-0.36543812340175,-1.07750517194693,-1.34759963274716,-0.449598134509889,-0.181284005142294,-0.156252817641812,0.981548567863699,0.63581070620369,38986.455863026,-0.206927671616057,"5","no change","0",5,4,0.8,174.75,140.2,2,313,119.884759520979,2.75072607103055,1964,2504,260.116800889173,-0.951717811882297,321.175089839652,-0.21453609154018,250.805533650845,-1.47005708351353,336.50179774539,0.577318070677035,-15.326707905738,9.31126723832847,-0.938437513885271,0.361739709887385,26,2019-05-31,5,2019-06-01,1,0.110743209248556,1,-0.109517848238175,-0.113005626531008,-0.0734277249175342,0.131134847828698,-0.514475788548468,-0.507633945183231,-0.460949290278168,-0.621764454397902,-0.713872488317171,-0.555978390077878
"7",1992,"2019",3,195,90,105,3.9,1.8,2.1,1.12256847218588,0.461538461538462,0.39878025044644,54,0.166666666666667,0.222222222222222,0.459734537695026,27,0.444444444444444,0.125,1.13997710480165,-0.719492389510065,-0.546726351719208,1.0698592298674,0.240392186693174,1.33481005920482,2.02754606664569,-0.181284005142294,-0.156252817641812,-0.228312140455477,2.16819337246699,38986.455863026,-0.206927671616057,"5","no change","0",5,4,0.8,80.5,129.8,5,327,10.9891900539206,2.41528846636327,6765,898,260.116800889173,-0.951717811882297,321.175089839652,-0.21453609154018,250.805533650845,-1.47005708351353,336.50179774539,0.577318070677035,-15.326707905738,9.31126723832847,-0.938437513885271,0.361739709887385,26,2019-05-31,5,2019-06-01,1,0.110743209248556,1,-0.109517848238175,-0.113005626531008,-0.0734277249175342,0.131134847828698,-0.744226648609817,-0.534628237442526,-0.439717907981169,-0.610450071333529,0.870380280346475,-0.831953125652206
"8",1992,"2019",4,165,65,100,3.3,1.3,2,0.733090867032312,0.393939393939394,0.38907168026197,28,0.0714285714285714,0.25,0.463647900880486,61,0.19672131147541,0.166666666666667,1.18567704916274,0.993671192831251,-0.0894787033291172,-0.891435514102712,0.139015466797781,1.23672491205822,0.456674134205566,-0.442160630427556,-0.547026687263984,-0.0878818796684301,1.21045420605243,38986.455863026,-0.206927671616057,"5","no change","0",11,9,0.818181818181818,263.444444444444,224.272727272727,3,591,114.699372350074,2.53302497625424,4609,2462,260.116800889173,-0.951717811882297,321.175089839652,-0.21453609154018,250.805533650845,-1.47005708351353,336.50179774539,0.577318070677035,-15.326707905738,9.31126723832847,-0.938437513885271,0.361739709887385,26,2019-05-31,5,2019-06-01,1,0.110743209248556,2,0.47693256490818,1.32998929686494,1.22327465128573,0.193276430965809,-0.298267566863857,-0.289414351814379,-0.453872162845835,-0.397093133548204,0.158934962862863,-0.563195662116559
"9",1992,"2019",5,70,30,40,1.4,0.6,0.8,0.932626191840049,0.428571428571429,0.180109516299505,21,0,0.142857142857143,0.451409137281417,10,0.5,0.2,1.04275374022885,-1.57607418068072,0.276319415382956,1.50970841877246,-1.07750517194693,-0.874408263155938,0.0337470754716866,-0.637818099391502,-0.840107089480613,-0.629541456989898,-0.13038062692796,38986.455863026,-0.206927671616057,"5","no change","0",2,1,0.5,0,22,0,44,15.8204677186034,11.5043984651458,5290,453,260.116800889173,-0.951717811882297,321.175089839652,-0.21453609154018,250.805533650845,-1.47005708351353,336.50179774539,0.577318070677035,-15.326707905738,9.31126723832847,-0.938437513885271,0.361739709887385,26,2019-05-31,5,2019-06-01,1,0.110743209248556,1,-0.109517848238175,-0.834503088228985,-0.851449150639492,-0.894201273933636,-0.94045947868874,-0.814434459130225,-0.475103545142834,-0.839162243277646,0.383654007949291,-0.908421841300136
"10",1993,"2019",1,125,0,125,3.125,0,3.125,-1.53662345265569,0,0.206223912966634,12,0,0.333333333333333,0.465528425118834,43,0.348837209302326,0.166666666666667,1.20763766180956,0.0867022374740836,-0.0894787033291172,0.312909462914502,1.27950356562095,-0.610575959215112,-0.510016285757586,-0.637818099391502,-0.840107089480613,0.333408902692712,-1.27966762662544,101118.303378066,0.842580125942899,"4","no change","0",4,4,1,139,139,9,425,4.21581407542743,1.13004509090611,6608,2125,342.035638599162,2.77011251510539,325.137714586936,-0.0961049508292897,331.609961745014,2.77281953419639,342.678381714445,0.754891534293078,-17.540667127509,10.4256768541473,-1.01459522360617,0.418856271118845,31,2019-06-06,4,2019-06-07,1,0.890465804978183,0,-0.69596826138453,-0.353504780430334,-0.0734277249175342,0.81469226233692,-0.601622666502773,-0.510748671213149,-0.411409398251838,-0.531249389882916,0.818572805928605,-0.621105678236452
