"","year","BroodID","Data_Directory.F","night","trips.n.M","trips.n.F","brood.sizeF","brood.size.change01","brood.size.change","AgeBin.F","AgeBin.M","hunt.att.sumMF","distance.km.M","distance.km.F","time.h.M","time.h.F","vedba.avg.M","vedba.avg.F","vedba.sum.M","vedba.sum.F","vedba.sum.sum.M","vedba.sum.sum.F","hunt.att.avg.M","hunt.att.avg.F","hunt.att.sum.M","hunt.att.sum.F","prey.to.nest.M","prey.to.nest.F","hunt.succ.sum.M","hunt.succ.sum.F","prop.succ.dives.M","prop.succ.dives.F","prop.succ.dives.tripM","prop.succ.dives.tripF","preys.eaten.M","preys.eaten.F","preys.eaten","preys.nest","Nb_Eggs","Nb_Nestlings1","Nb_Nestlings2","Nb_Fledglings","egg.fledg.ratio","egg.nestl.ratio","egg.nestl.ratio2","nestl.fledg.ratio","Morph.M","Morph.F","colour.M","colour.F","n.spots.M","n.spots.F","clutchF.y","breed.together","clutches.together","clutch.n","clutch.y","years.together","year.before","year.after","trips.tot","trips.diff","prop.trips.M","prop.trips.F","vedba.avg.diff","vedba.sum.diff","hunt.att.diff","prey.to.nest.diff","prop.prey.nestM","prop.prey.nestF","preys.eaten.diff","prop.prey.eatenM","prop.prey.eatenF","prop.prey.eaten.prey.capturedF","prop.succ.dives.diff","prey.per.chick","prey.per.chickF","prey.per.chickM","prey.to.nest.F10","prey.to.nest.M10","preys.nest10","prey.nest.coopI","prey.nest.Fcoop01","prey.nest.coopI.dir","pair.group","trips.coopI","trips.coopI.dir","prey.eaten.selfI","prey.eaten.selfI.dir","year_z","BroodID_z","night_z","trips.n.M_z","trips.n.F_z","brood.size.change_z","hunt.att.sumMF_z","distance.km.M_z","distance.km.F_z","time.h.M_z","time.h.F_z","vedba.avg.M_z","vedba.avg.F_z","vedba.sum.M_z","vedba.sum.F_z","vedba.sum.sum.M_z","vedba.sum.sum.F_z","hunt.att.avg.M_z","hunt.att.avg.F_z","hunt.att.sum.M_z","hunt.att.sum.F_z","prey.to.nest.M_z","prey.to.nest.F_z","hunt.succ.sum.M_z","hunt.succ.sum.F_z","prop.succ.dives.M_z","prop.succ.dives.F_z","prop.succ.dives.tripM_z","prop.succ.dives.tripF_z","preys.eaten.M_z","preys.eaten.F_z","preys.eaten_z","preys.nest_z","Nb_Eggs_z","Nb_Nestlings1_z","Nb_Nestlings2_z","Nb_Fledglings_z","egg.fledg.ratio_z","egg.nestl.ratio_z","egg.nestl.ratio2_z","nestl.fledg.ratio_z","colour.M_z","colour.F_z","n.spots.M_z","n.spots.F_z","clutchF.y_z","trips.tot_z","trips.diff_z","prop.trips.M_z","prop.trips.F_z","vedba.avg.diff_z","vedba.sum.diff_z","hunt.att.diff_z","prey.to.nest.diff_z","prop.prey.nestM_z","prop.prey.nestF_z","preys.eaten.diff_z","prop.prey.eatenM_z","prop.prey.eatenF_z","prop.prey.eaten.prey.capturedF_z","prop.succ.dives.diff_z","prey.per.chick_z","prey.per.chickF_z","prey.per.chickM_z","prey.to.nest.F10_z","prey.to.nest.M10_z","preys.nest10_z","prey.nest.coopI_z","prey.nest.Fcoop01_z","trips.coopI_z","prey.eaten.selfI_z","yearF","brood.size.fin","brood.size.changeF","percent_wildflower","percent_wildflower.zsqrt","area_wildflower","area_wildflower.zsqrt","Malebehav_Dim1","Malebehav_Dim2","Femalebehav_Dim1","Femalebehav_Dim2"
"1",2019,1988,"Female_M038044_060519",4,10,5,"5","0",0,"2","2",249,244.320906727212,191.282152232368,23.4455555555556,19.7522222222222,0.355768547328311,0.323715055290067,887.081536014918,1208.79614023917,221.77038400373,302.199035059792,4.82142857142857,7.125,135,114,28,16,36,25,0.266666666666667,0.219298245614035,0.266666666666667,0.219298245614035,7,7,14,44,6,5,5,5,0.833333333333333,0.833333333333333,0.833333333333333,1,"White","Red",-8,-2.25,96,54,"1","3","1","1","1","3","1","0",15,5,0.666666666666667,0.333333333333333,0.0320534920382441,-321.71460422425,21,12,0.636363636363636,0.363636363636364,0,0.5,0.5,0.28,0.0473684210526316,2.2,0.8,1.4,160,280,440,0.272727272727273,0.363636363636364,"male contribution","both old (2+ years)",0.333333333333333,"male contribution",0,"equal",-0.83048532940276,-1.43322499874038,-2.36783474216929,-0.762388956295143,-0.277651114912583,0.646479511438094,-0.613982335046072,-1.10128843271252,-0.27507461074738,-0.883585039262942,-0.582292719372551,-0.354503932099318,0.605968080599652,0.724001968893056,-0.0982220713948024,1.74366520508322,0.40888499662613,0.109198522952136,0.510397358619799,-1.19464206595457,0.226242581880154,-1.15073070320777,-0.0156665381300954,-1.21888580387088,0.288449684614532,-0.293171367611219,0.00891441731315356,-0.293171367611219,0.00891441731315356,-0.736734395130476,0.833951924529411,-0.0438170788044753,-0.904908886329561,-0.142544944212281,0.0417352146229481,0.686460211143644,1.02829412581333,0.845455506229038,0.0964143663004104,0.502199492379088,0.859171519956502,-1.24824461202381,1.36717354229004,0.982377376046817,-0.804374356808398,-0.412162948536188,-0.74003455915567,-0.532360885450059,-0.292109838010938,0.292109838010937,-0.741692795762577,0.346657603882071,-1.19515561051585,-1.01140338148882,-0.861308899317386,0.861308899317387,-1.24365246120785,-1.3619124280751,1.3619124280751,NA,-0.221571936009224,-0.295622515668369,0.470673724947248,-0.567479901118712,-0.0156665381300952,-1.15073070320777,-0.904908886329561,-0.861308899317387,0.861308899317387,-0.292109838010937,-1.3619124280751,"2019","5","no change",0.0489920088929606,2.4982342814474,266287.333726983,2.52994221906124,-0.779178594081985,-0.499253841941199,0.771485442213835,-0.210117142345549
"2",2019,1992,"Female_M034644_220519",5,13,9,"5","0",0,"2","2",336,325.104298527525,304.992962945821,26.3855555555556,31.2172222222222,0.442180501371005,0.312658178967413,766.796412003998,807.356938156241,153.3592824008,161.471387631248,4.2093023255814,5,181,155,41,30.5,51,37,0.281767955801105,0.238709677419355,0.281767955801105,0.238709677419355,9,5.5,14.5,71.5,5,5,5,5,1,1,1,1,"Intermediate","Intermediate",-4.25,-7.25,45,57,"1","2","1","1","1","2","0","0",22,4,0.590909090909091,0.409090909090909,0.129522322403592,-40.5605261522427,26,10.5,0.573426573426573,0.426573426573427,3.5,0.620689655172414,0.379310344827586,0.148648648648649,0.0430582783817501,2.86,1.22,1.64,305,410,715,0.146853146853147,0.426573426573427,"male contribution","both old (2+ years)",0.181818181818182,"male contribution",0.241379310344828,"male eats more",-0.83048532940276,-1.36940096474277,-0.451016141365579,-0.0649569065901691,1.17467779386093,0.646479511438094,0.294324615224636,0.111067329864868,1.62747713273023,-0.528803497292912,0.248809659265195,1.47644849282489,0.447365939403251,0.190029698374486,-0.70169189206498,0.288047184210801,-0.63106160914032,-0.354748054571043,-0.392641901451953,-0.433419743219615,0.919390184387703,-0.257234048279646,1.45549599484837,-0.375995281872033,1.26107341455444,-0.080295577293239,0.255469701329648,-0.080295577293239,0.255469701329648,-0.252696338426395,0.385070149848672,0.0413132457299337,0.567832295077122,-0.888164652399598,0.0417352146229481,0.686460211143644,1.02829412581333,1.51801439592603,1.14023328272941,1.3228207020339,0.859171519956502,1.11425225254103,-1.45430751615374,-0.321227864322882,-0.71509668064468,-0.412162948536188,0.540897986873781,-0.744059951009147,-0.965881213534001,0.965881213534001,0.48410039820489,0.77332516192601,-1.1253235246634,-1.10286007024046,-1.395923357864,1.395923357864,-0.497147326863669,-0.635508880985549,0.635508880985549,NA,-0.265992401304861,0.532170226098659,1.64294823630443,-0.230640027097803,1.45549599484837,-0.257234048279646,0.567832295077122,-1.395923357864,1.395923357864,-0.965881213534001,-0.635508880985549,"2019","5","no change",0.00754421867839308,-0.132542705442022,38986.455863026,-0.202150165251656,-0.269312653718737,-0.490993314615593,1.86720892554727,0.0155684378134196
"3",2019,1993,"Female_M031590_290519",4,23,6,"4","0",0,"2","2",285,399.119166245526,218.01587475372,49.7458333333333,18.3672222222222,0.419370013242339,0.345708186174668,730.141015331726,1406.78033668463,182.535253832932,351.695084171157,3.76785714285714,5.28571428571429,211,74,53,12,67,20,0.317535545023697,0.27027027027027,0.317535545023697,0.27027027027027,11,3,14,65,5,4,4,3,0.6,0.8,0.8,0.75,"Intermediate","Intermediate",-7,-6.75,47,53,"1","1","1","1","1","1","0","0",29,17,0.793103448275862,0.206896551724138,0.0736618270676709,-676.6393213529,137,41,0.815384615384615,0.184615384615385,8,0.785714285714286,0.214285714285714,0.15,0.0472652747534264,4.0625,0.75,3.3125,120,530,650,0.630769230769231,0.184615384615385,"male contribution","both old (2+ years)",0.586206896551724,"male contribution",0.571428571428571,"male eats more",-0.83048532940276,-1.35344495624337,-2.36783474216929,2.25981659242641,0.0854311122807948,0.646479511438094,-0.238131183209917,1.22184455021395,0.172220506344143,2.29017452000239,-0.682691916443051,0.993125102958575,0.921442139286882,0.0273082849927715,0.199400798779667,0.908839260321022,0.774649998832602,-0.689330966312657,-0.271224858080962,0.0630295976944865,-0.449998981541845,0.567532094730929,-0.421504478262087,0.5230879415934,-0.11681020286043,0.423903352728193,0.656338169566695,0.423903352728193,0.656338169566695,0.231341718277686,-0.363066141285891,-0.0438170788044753,0.219729834017361,-0.888164652399598,-0.904262983497213,-0.374432842441987,-0.560887704989092,-0.0961269393467477,-0.11234941698539,0.338075250448126,-0.0834352182871097,-0.618245448139854,-1.17215941030937,-0.270106090190737,-0.834133582196304,-0.412162948536188,1.82183053290323,2.008027901259,0.832391354241349,-0.832391354241348,-0.218415623971231,-0.191961161263255,0.42494878126092,0.756759267709716,0.659372227215193,-0.659372227215193,0.462644988721711,0.35773678544302,-0.357736785443021,NA,-0.22263496499784,2.04038351696965,0.331117235499965,2.11671284498541,-0.421504478262087,0.567532094730929,0.219729834017361,0.659372227215193,-0.659372227215193,0.832391354241348,0.357736785443021,"2019","4","no change",0.0187048114346331,0.84375993055871,101118.303378066,0.831590472893527,2.41484369763609,0.270583975389576,0.0116667989366961,-0.335814174622792
"4",2019,1994,"Female_M038125_270519",6,21,7,"5","1",-1,"2","2",297,328.565951981057,241.753670425273,30.5630555555556,46.1755555555556,0.368967555723466,0.253378799729463,540.322118433812,1115.53462372893,90.0536864056353,185.922437288154,3.22222222222222,5.875,203,94,62.5,15,77,15,0.379310344827586,0.159574468085106,0.379310344827586,0.159574468085106,10.5,1,11.5,77.5,6,5,4,3,0.5,0.833333333333333,0.666666666666667,0.6,"Intermediate","Intermediate",-7,-7.25,101,50,"1","1","1","1","1","1","0","0",28,14,0.75,0.25,0.115588755994003,-575.212505295115,109,47.5,0.806451612903226,0.193548387096774,9.5,0.91304347826087,0.0869565217391304,0.0666666666666667,0.21973587674248,2.58333333333333,0.5,2.08333333333333,150,625,775,0.612903225806452,0.193548387096774,"male contribution","both old (2+ years)",0.5,"male contribution",0.826086956521739,"male eats more",-0.83048532940276,-1.33748894774397,1.46580245943813,1.7948618926231,0.448513339474173,-0.425730409971428,-0.112847465931199,0.163018051651961,0.569389291421529,-0.0246878879120303,1.33314515109159,-0.0748347972506413,-0.402949846138234,-0.815339783065153,-0.238418919016671,-1.05893838090226,-0.450373687734984,-1.10288202007503,-0.0208022061282907,-0.0693568932159407,-0.111878199830846,1.22047195794763,-0.117126023163093,1.0850149562593,-0.522070090335392,1.29471373275057,-0.749670167217467,1.29471373275057,-0.749670167217467,0.110332204101665,-0.961575174193542,-0.469468701476521,0.889157643747671,-0.142544944212281,0.0417352146229481,-0.374432842441987,-0.560887704989092,-0.499662273164941,0.0964143663004104,-0.318421717275721,-0.648999261233277,-0.618245448139854,-1.45430751615374,1.11018181137718,-0.923411258360022,-0.412162948536188,1.63884016918474,1.37293070458173,0.449038675064433,-0.449038675064433,0.308868266983588,-0.0380401076391857,0.0338891004872169,1.15307158563352,0.583491465356964,-0.583491465356964,0.782575760583505,1.12410219581523,-1.12410219581523,NA,1.5548524583142,0.185166197984198,-0.366665211736452,0.391578073524154,-0.117126023163093,1.22047195794763,0.889157643747671,0.583491465356964,-0.583491465356964,0.449038675064433,1.12410219581523,"2019","4","1 dead chick",0.017346101634111,0.744757834208931,91418.3401117884,0.697495489439634,0.160163009620596,0.828259984925939,0.0299824692447435,-0.31440985730379
"5",2019,1996,"Female_M039430_300519",6,9,7,"4","0",0,"1","2",324,362.28417373515,226.872203049795,31.0025,21.785,0.401716953299089,0.34905973917603,1157.37981271009,932.136452048432,192.896635451682,155.356075341405,6.93939393939394,4.31818181818182,229,95,32,32,57,25,0.248908296943231,0.263157894736842,0.248908296943231,0.263157894736842,7,2,9,64,4,4,4,4,1,1,1,1,"White","Intermediate",-7.5,-4.75,2,55,"1","1","1","1","1","1","0","0",16,2,0.5625,0.4375,0.0526572141230587,225.243360661662,134,0,0.5,0.5,5,0.777777777777778,0.222222222222222,0.08,-0.0142495977936107,2.66666666666667,1.33333333333333,1.33333333333333,320,320,640,0,0.5,"equal","F younger",0.125,"male contribution",0.555555555555556,"male eats more",-0.83048532940276,-1.30557693074516,1.46580245943813,-0.994866306196801,0.448513339474173,0.646479511438094,0.169040897945918,0.669043851465912,0.320400109803017,0.0283416282819029,-0.434935855320823,0.619080640378125,0.969517514902705,1.92391580454805,-0.5141151170985,1.12930367986698,-0.67625243251604,1.71446016701089,-0.682387118587275,0.360899202242948,-0.0949721607452955,-0.875808655537578,1.60768522239787,-0.0388390730724956,0.288449684614532,-0.543502776802913,0.565999971577828,-0.543502776802913,0.565999971577828,-0.736734395130476,-0.662320657739716,-0.895120324148566,0.166175609238936,-1.63378436058692,-0.904262983497213,-0.374432842441987,0.233703210412121,1.51801439592603,1.14023328272941,1.3228207020339,0.859171519956502,-0.933245030081832,-0.0435669869318525,-1.420346008164,-0.774615131420492,-0.412162948536188,-0.557044195437177,-1.16745808212732,-1.21854547935515,1.21854547935515,-0.482575063382955,1.17669791782973,0.383049529749452,-1.743056891502,-2.01964022616837,2.01964022616837,-0.177216555001876,0.309968751734184,-0.309968751734184,NA,-0.856609167198059,0.289685483560842,1.9592762790516,-0.661046532791187,1.60768522239787,-0.875808655537578,0.166175609238936,-2.01964022616837,2.01964022616837,-1.21854547935515,0.309968751734184,"2019","4","no change",0.00228656481081907,-0.896232622203306,14901.1524249986,-0.848592929255524,-0.195105001316869,-1.17545942721713,1.99371588053817,1.17215576649469
"6",2019,2002,"Female_M043675_310519",5,10,7,"5","1",-1,"1","2",302,306.599058320871,150.906637212643,28.7155555555556,14.4111111111111,0.339168045835587,0.32426414469583,665.992037677592,762.905150712238,133.198407535518,152.581030142448,4.60869565217391,4.09090909090909,212,90,45.5,21.5,58,24,0.273584905660377,0.266666666666667,0.273584905660377,0.266666666666667,10.5,2.5,13,67,5,5,4,4,0.8,1,0.8,0.8,"Intermediate","Red",-7.25,-3.75,29,108,"1","1","1","1","1","1","0","0",17,3,0.588235294117647,0.411764705882353,0.0149039011397579,-96.9131130346451,122,24,0.67910447761194,0.32089552238806,8,0.807692307692308,0.192307692307692,0.104166666666667,0.00691823899371069,2.68,0.86,1.82,215,455,670,0.358208955223881,0.32089552238806,"male contribution","F younger",0.176470588235294,"male contribution",0.615384615384615,"male eats more",-0.83048532940276,-1.20984087974875,-0.451016141365579,-0.762388956295143,0.448513339474173,-0.425730409971428,-0.0606459170650659,-0.166649835785612,-0.950617296729599,-0.247633091581971,-0.96947197353853,-0.706246104808935,0.613844333613693,-0.257463215482326,-0.768514743590477,-0.140926068416959,-0.696759410982869,-0.0520373503408289,-0.778968857632382,0.0795779090582899,-0.179502356173045,0.0520532553493194,0.542360629551393,0.017353628394094,0.207397707119539,-0.195648197219342,0.610566815919002,-0.195648197219342,0.610566815919002,0.110332204101665,-0.512693399512804,-0.214077727873293,0.32683828357421,-0.888164652399598,0.0417352146229481,-0.374432842441987,0.233703210412121,0.71094372828964,1.14023328272941,0.338075250448126,0.105086129361613,-0.775745239110843,0.520729224756904,-0.730202057380042,0.802623814138521,-0.412162948536188,-0.374053831718684,-0.955759016568235,-0.989661379728932,0.989661379728932,-0.957370481889449,0.687806855382309,0.215452523703579,-0.27974987147563,-0.498249826722301,0.4982498267223,0.462644988721711,0.490017494175184,-0.490017494175184,NA,-0.638452778606259,0.306408569253106,0.638141512283988,0.0219898784178784,0.542360629551394,0.0520532553493193,0.32683828357421,-0.498249826722301,0.4982498267223,-0.989661379728932,0.490017494175184,"2019","4","1 dead chick",0.0413823178503931,2.14778185519514,149719.270124483,1.42284858650259,-0.166515218214391,-0.303533103274359,0.395214480373451,0.767806994836136
"7",2019,2004,"Female_M043682_090619",5,11,6,"4","0",0,"1","2",278,297.088460527249,291.257734176559,26.6691666666667,26.3552777777778,0.372804364730078,0.259184731284791,768.8508065956,1299.00504764842,153.77016131912,259.801009529683,4.975,5.64285714285714,199,79,39.5,13.5,43,17,0.21608040201005,0.215189873417722,0.21608040201005,0.215189873417722,3.5,5.5,9,53,6,4,4,4,0.666666666666667,0.666666666666667,0.666666666666667,1,"Intermediate","White",-6.25,-7.25,29,29,"1","1","1","1","1","1","0","0",17,5,0.647058823529412,0.352941176470588,0.113619633445287,-530.154241052817,120,26,0.745283018867924,0.254716981132075,-2,0.388888888888889,0.611111111111111,0.323529411764706,0.000890528592328715,2.65,0.675,1.975,135,395,530,0.490566037735849,0.254716981132075,"male contribution","F younger",0.294117647058824,"male contribution",-0.222222222222222,"female eats more",-0.83048532940276,-1.17792886274995,-0.451016141365579,-0.529911606393485,0.0854311122807948,0.646479511438094,-0.311213351622503,-0.309380015636871,1.39766623543679,-0.494579011809976,-0.10363461396484,0.00646199591244565,-0.319668352392293,0.19914961036393,0.0373858933845481,0.296789665239322,0.0955728397976445,0.225594346811072,-0.119453553867222,-0.135550138671154,-0.365468786114095,-0.360329816155968,-0.26931525071259,-0.82553689360475,-0.359966135345407,-1.0062622151637,-0.0432682801749296,-1.0062622151637,-0.0432682801749296,-1.58380099436262,0.385070149848672,-0.895120324148566,-0.422920863323737,-0.142544944212281,-0.904262983497213,-0.374432842441987,0.233703210412121,0.172896616532048,-0.947404550128593,-0.318421717275721,0.859171519956502,-0.145746075226886,-1.45430751615374,-0.730202057380042,-1.54835499150605,-0.412162948536188,-0.374053831718684,-0.532360885450059,-0.466497723440436,0.466497723440436,0.284104073043266,0.0303384117328002,0.1875196893626,-0.157807619806766,0.0638991416264841,-0.0638991416264846,-1.67022682369025,-2.03066489999881,2.03066489999881,NA,-0.700574550701098,0.268781626445513,0.12178250132904,0.239532297056383,-0.26931525071259,-0.360329816155968,-0.422920863323737,0.0638991416264843,-0.0638991416264846,-0.466497723440436,-2.03066489999881,"2019","4","no change",0.00226931561929821,-0.899767562058469,12432.4845636436,-0.939232815478941,0.0261554128497049,0.064975490938335,-0.491107322941261,-0.898766880752034
"8",2019,2005,"Female_M028977_210519",5,8,7,"3","0",0,"1","1",283,310.000964991142,304.089596823268,27.0233333333333,31.6805555555556,0.343848691793496,0.33898797619579,1052.33459160632,1696.25656273896,210.466918321264,339.251312547791,6.86206896551724,4.42105263157895,199,84,29,17.5,39,22,0.195979899497487,0.261904761904762,0.195979899497487,0.261904761904762,8,2.5,10.5,46.5,4,3,3,3,0.75,0.75,0.75,1,"Intermediate","Red",-5,-3.5,50,143,"2","1","1","1","1","1","0","0",15,1,0.533333333333333,0.466666666666667,0.00486071559770618,-643.921971132635,115,11.5,0.623655913978495,0.376344086021505,5.5,0.761904761904762,0.238095238095238,0.113636363636364,-0.0659248624072745,3.1,1.16666666666667,1.93333333333333,175,290,465,0.247311827956989,0.376344086021505,"male contribution","both young (1st-year)",0.0666666666666667,"male contribution",0.523809523809524,"male eats more",-0.83048532940276,-1.16197285425055,-0.451016141365579,-1.22734365609846,0.448513339474173,0.646479511438094,-0.25901180275637,-0.115595763116215,1.61236246790039,-0.451840305648621,0.28239687561369,-0.60706954802595,0.825046045052226,1.45759683384295,0.634560507445088,1.5031555807651,0.682693241940019,1.65585353605764,-0.638671173545805,-0.135550138671154,-0.280938590686345,-1.08200019129022,0.136522689419401,-1.05030769947111,0.0452937521295545,-1.28960957180707,0.550083241455981,-1.28960957180707,0.550083241455981,-0.494715366778436,-0.512693399512804,-0.639729350545339,-0.771023324383499,-1.63378436058692,-1.85026118161737,-1.43532589602762,-0.560887704989092,0.509176061380543,-0.425495091914091,0.0918888875516836,0.859171519956502,0.641752879628061,0.661803277679093,-0.193423428992519,1.84419670271523,2.39054510150989,-0.74003455915567,-1.37915714768641,-1.47794745893153,1.47794745893153,-1.08367617815208,-0.142310691955199,0.117687603510153,-1.04188894440603,-0.969253754149378,0.969253754149378,-0.070572964381278,0.21443268431651,-0.214432684316511,NA,-1.38917606200683,0.833185768559397,1.49408798089399,0.181053152261085,0.136522689419402,-1.08200019129022,-0.771023324383499,-0.969253754149378,0.969253754149378,-1.47794745893153,0.214432684316511,"2019","3 or less","no change",0.00173179732003729,-1.01757913951139,8885.03281316161,-1.08708528785982,-0.501216912601193,-0.921178495811694,0.865177443149757,0.164790815975479
"9",2019,2007,"Female_M043681_120619",5,15,4,"6","1",-2,"1","2",236,263.374328218258,156.924404040845,26.1019444444444,18.4438888888889,0.351376181173974,0.266590493858949,597.725576953122,1310.27643865964,119.545115390624,262.055287731927,4.17948717948718,6.63636363636364,163,73,35,10,44,10,0.269938650306748,0.136986301369863,0.269938650306748,0.136986301369863,8,0,8,45,9,6,4,3,0.333333333333333,0.666666666666667,0.444444444444444,0.5,"Intermediate","Intermediate",-5.5,-5,69,99,"1","1","1","1","1","1","0","0",19,11,0.789473684210526,0.210526315789474,0.0847856873150243,-712.550861706515,90,25,0.777777777777778,0.222222222222222,8,1,0,0,0.132952348936885,1.5,0.333333333333333,1.16666666666667,100,350,450,0.555555555555556,0.222222222222222,"male contribution","F younger",0.578947368421053,"male contribution",1,"male eats more",-0.83048532940276,-1.13006083725175,-0.451016141365579,0.399997793213147,-0.640733342105961,-1.49794033138095,-0.749706362098017,-0.815344443153568,-0.849931067346473,-0.56302798277585,-0.6771343194933,-0.447572229773343,-0.213438548677549,-0.560513134024232,0.0543297899371291,-0.431434152992117,0.112231463797361,-0.377345737781997,0.302746619672819,-0.731289347768077,-0.466905020627395,-0.669617119784934,-0.624423448328083,-0.76934419213816,-0.927329977810354,-0.247047748820192,-1.03657491055343,-0.247047748820192,-1.03657491055343,-0.494715366778436,-1.26082969064737,-1.06538097321738,-0.851354661551136,2.09431418034967,0.987733412743109,-0.374432842441987,-0.560887704989092,-1.17222116286193,-0.947404550128593,-1.4125833301488,-1.02604195653072,0.326753297686083,-0.184641039854042,0.292233425262859,0.534790785647368,-0.412162948536188,-0.00807310428169803,0.737833507904468,0.800109023363292,-0.800109023363292,-0.0785190833977965,-0.246458998653147,-0.231472825752082,-0.218778745641198,0.339923587787342,-0.339923587787342,0.462644988721711,1.64747369558161,-1.64747369558161,NA,0.660458703981014,-1.17358451451219,-0.831853509894063,-0.894963111972374,-0.624423448328083,-0.669617119784934,-0.851354661551136,0.339923587787342,-0.339923587787342,0.800109023363293,1.64747369558161,"2019","4","2 or more dead chicks",0.00273404993566958,-0.808788349747735,17120.5093383323,-0.773339259728794,-0.314236244062189,-0.0170211980754555,-0.555484277887181,1.43076570221767
"10",2019,2009,"Female_M031841_120619",5,12,1,"3","0",0,"2","2",249,346.008704675475,193.351839289361,28.0272222222222,18.6455555555556,0.385066943440039,0.263878655556969,687.328184636314,3351.5048993155,137.465636927263,670.3009798631,4.47826086956522,8.6,206,43,44.5,5,55,8,0.266990291262136,0.186046511627907,0.266990291262136,0.186046511627907,9.5,3,12.5,49.5,6,3,3,3,0.5,0.5,0.5,1,"Salmon","Intermediate",-3.25,-4.5,49,64,"1","1","1","1","1","1","0","0",13,11,0.923076923076923,0.0769230769230769,0.12118828788307,-2664.17671467919,163,39.5,0.898989898989899,0.101010101010101,6.5,0.76,0.24,0.375,0.0809437796342289,3.3,0.333333333333333,2.96666666666667,50,445,495,0.797979797979798,0.101010101010101,"male contribution","both old (2+ years)",0.846153846153846,"male contribution",0.52,"male eats more",-0.83048532940276,-1.09814882025294,-0.451016141365579,-0.297434256491827,-1.72998002368609,0.646479511438094,-0.613982335046072,0.424789948981585,-0.24044565423893,-0.330697024027336,-0.662515423168955,0.26628945235133,-0.252337723156994,-0.16274733993788,3.12283871160541,-0.0501300447266528,3.12907804375714,-0.150897301848924,1.13721284502254,-0.0197119591245305,-0.974086193193894,-0.0166772565682285,-1.13172087349307,-0.151224476005675,-1.08943393280034,-0.288609383471087,-0.413434165687507,-0.288609383471087,-0.413434165687507,-0.131686824250375,-0.363066141285891,-0.299208052407703,-0.610360650048224,-0.142544944212281,-1.85026118161737,-1.43532589602762,-0.560887704989092,-0.499662273164941,-1.9912234665576,-1.13904292693053,0.859171519956502,1.74425141642499,0.0975070659903366,-0.218984316058591,-0.506782102929339,-0.412162948536188,-1.10601528659266,0.737833507904468,1.98834712529789,-1.98834712529789,0.379289426787129,-3.20816399192024,0.788075627693644,0.665302578958068,1.36955143387711,-1.36955143387711,0.142714216859918,0.20296835622639,-0.20296835622639,NA,0.124456760613342,1.08403205394334,-0.831853509894063,1.63133594318444,-1.13172087349307,-0.0166772565682286,-0.610360650048224,1.36955143387711,-1.36955143387711,1.98834712529789,0.20296835622639,"2019","3 or less","no change",0.0148905269292806,0.555439493440341,95734.3772676453,0.757998530636611,0.904471313191444,0.438779019860353,-1.69225144672382,-0.485722746706474
